"BehaviorSpace results (NetLogo 6.0)"
"diffusion.nlogo"
"experiment"
"04/08/2019 21:48:53:577 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","rewiring-proportion","infect-seed-neighbors","number-of-nodes","average-node-degree","threshold-value","[step]","count turtles with [color = green]"
"6","0","true","500","4","1","62","253"
"3","0","true","500","4","1","80","325"
"5","0","true","500","4","1","110","445"
"8","0","true","500","4","1","53","217"
"6","0","true","500","4","1","63","257"
"2","0","true","500","4","1","84","341"
"7","0","true","500","4","1","50","205"
"3","0","true","500","4","1","81","329"
"5","0","true","500","4","1","111","449"
"8","0","true","500","4","1","54","221"
"6","0","true","500","4","1","64","261"
"2","0","true","500","4","1","85","345"
"5","0","true","500","4","1","112","453"
"7","0","true","500","4","1","51","209"
"3","0","true","500","4","1","82","333"
"8","0","true","500","4","1","55","225"
"6","0","true","500","4","1","65","265"
"2","0","true","500","4","1","86","349"
"5","0","true","500","4","1","113","457"
"3","0","true","500","4","1","83","337"
"7","0","true","500","4","1","52","213"
"8","0","true","500","4","1","56","229"
"5","0","true","500","4","1","114","461"
"6","0","true","500","4","1","66","269"
"4","0","true","500","4","1","64","261"
"3","0","true","500","4","1","84","341"
"7","0","true","500","4","1","53","217"
"8","0","true","500","4","1","57","233"
"5","0","true","500","4","1","115","465"
"6","0","true","500","4","1","67","273"
"3","0","true","500","4","1","85","345"
"5","0","true","500","4","1","116","469"
"4","0","true","500","4","1","65","265"
"7","0","true","500","4","1","54","221"
"6","0","true","500","4","1","68","277"
"8","0","true","500","4","1","58","237"
"3","0","true","500","4","1","86","349"
"5","0","true","500","4","1","117","473"
"6","0","true","500","4","1","69","281"
"7","0","true","500","4","1","55","225"
"4","0","true","500","4","1","66","269"
"5","0","true","500","4","1","118","477"
"3","0","true","500","4","1","87","353"
"8","0","true","500","4","1","59","241"
"5","0","true","500","4","1","119","481"
"6","0","true","500","4","1","70","285"
"7","0","true","500","4","1","56","229"
"8","0","true","500","4","1","60","245"
"4","0","true","500","4","1","67","273"
"3","0","true","500","4","1","88","357"
"5","0","true","500","4","1","120","485"
"6","0","true","500","4","1","71","289"
"7","0","true","500","4","1","57","233"
"8","0","true","500","4","1","61","249"
"3","0","true","500","4","1","89","361"
"4","0","true","500","4","1","68","277"
"5","0","true","500","4","1","121","489"
"2","0","true","500","4","1","87","353"
"6","0","true","500","4","1","72","293"
"3","0","true","500","4","1","90","365"
"8","0","true","500","4","1","62","253"
"7","0","true","500","4","1","58","237"
"5","0","true","500","4","1","122","493"
"4","0","true","500","4","1","69","281"
"2","0","true","500","4","1","88","357"
"5","0","true","500","4","1","123","497"
"6","0","true","500","4","1","73","297"
"3","0","true","500","4","1","91","369"
"8","0","true","500","4","1","63","257"
"7","0","true","500","4","1","59","241"
"4","0","true","500","4","1","70","285"
"5","0","true","500","4","1","124","500"
"2","0","true","500","4","1","89","361"
"6","0","true","500","4","1","74","301"
"3","0","true","500","4","1","92","373"
"8","0","true","500","4","1","64","261"
"4","0","true","500","4","1","71","289"
"7","0","true","500","4","1","60","245"
"6","0","true","500","4","1","75","305"
"3","0","true","500","4","1","93","377"
"8","0","true","500","4","1","65","265"
"4","0","true","500","4","1","72","293"
"7","0","true","500","4","1","61","249"
"6","0","true","500","4","1","76","309"
"3","0","true","500","4","1","94","381"
"8","0","true","500","4","1","66","269"
"3","0","true","500","4","1","95","385"
"7","0","true","500","4","1","62","253"
"6","0","true","500","4","1","77","313"
"4","0","true","500","4","1","73","297"
"8","0","true","500","4","1","67","273"
"3","0","true","500","4","1","96","389"
"7","0","true","500","4","1","63","257"
"6","0","true","500","4","1","78","317"
"8","0","true","500","4","1","68","277"
"3","0","true","500","4","1","97","393"
"6","0","true","500","4","1","79","321"
"7","0","true","500","4","1","64","261"
"4","0","true","500","4","1","74","301"
"8","0","true","500","4","1","69","281"
"3","0","true","500","4","1","98","397"
"6","0","true","500","4","1","80","325"
"7","0","true","500","4","1","65","265"
"4","0","true","500","4","1","75","305"
"8","0","true","500","4","1","70","285"
"3","0","true","500","4","1","99","401"
"6","0","true","500","4","1","81","329"
"7","0","true","500","4","1","66","269"
"4","0","true","500","4","1","76","309"
"3","0","true","500","4","1","100","405"
"8","0","true","500","4","1","71","289"
"6","0","true","500","4","1","82","333"
"2","0","true","500","4","1","90","365"
"7","0","true","500","4","1","67","273"
"4","0","true","500","4","1","77","313"
"3","0","true","500","4","1","101","409"
"8","0","true","500","4","1","72","293"
"6","0","true","500","4","1","83","337"
"2","0","true","500","4","1","91","369"
"7","0","true","500","4","1","68","277"
"3","0","true","500","4","1","102","413"
"4","0","true","500","4","1","78","317"
"8","0","true","500","4","1","73","297"
"6","0","true","500","4","1","84","341"
"2","0","true","500","4","1","92","373"
"7","0","true","500","4","1","69","281"
"3","0","true","500","4","1","103","417"
"4","0","true","500","4","1","79","321"
"8","0","true","500","4","1","74","301"
